YEAR,MONTH,RAINFALL,RAINDAY,FLOODS
2020,JAN,347.0,21,YES
2020,FEB,296.0,18,NO
2020,MAR,309.0,18,NO
2020,APR,169.0,11,NO
2020,MAY,199.0,10,NO
2020,JUN,28.0,2,NO
2020,JUL,59.0,4,NO
2020,AUG,22.0,2,NO
2020,SEP,9.0,1,NO
2020,OCT,105.0,5,YES
2020,NOV,214.0,10,NO
2020,DEC,271.0,16,YES
2021,JAN,373.0,18,YES
2021,FEB,367.0,20,YES
2021,MAR,378.0,18,YES
2021,APR,193.0,10,YES
2021,MAY,380.0,20,YES
2021,JUN,175.0,8,YES
2021,JUL,2.0,1,NO
2021,AUG,8.0,1,NO
2021,SEP,100.0,6,NO
2021,OCT,17.0,2,NO
2021,NOV,100.0,6,YES
2021,DEC,223.0,15,YES
2022,JAN,292.0,25,YES
2022,FEB,298.0,21,YES
2022,MAR,359.0,27,NO
2022,APR,190.0,18,YES
2022,MAY,209.0,18,YES
2022,JUN,209.0,13,NO
2022,JUL,14.0,3,NO
2022,AUG,43.0,4,NO
2022,SEP,37.0,6,YES
2022,OCT,324.0,18,YES
2022,NOV,407.0,26,YES
2022,DEC,267.0,21,YES
2023,JAN,217.0,13,YES
2023,FEB,391.0,20,YES
2023,MAR,334.0,18,YES
2023,APR,174.0,11,YES
2023,MAY,72.0,3,NO
2023,JUN,5.0,1,NO
2023,JUL,6.0,1,NO
2023,AUG,0.0,0,NO
2023,SEP,0.0,0,NO
2023,OCT,1.0,0,NO
2023,NOV,56.0,5,YES
2023,DEC,74.0,8,NO
2024,JAN,843.4,31,NO
2024,FEB,284.2,30,YES
2024,MAR,88.7,30,YES
2024,APR,12.9,29,YES
2024,MAY,0.0,31,NO
2024,JUN,5.9,24,NO
2024,JUL,7.3,5,YES
2024,AUG,0.0,0,NO
2024,SEP,142.7,15,NO
2024,OCT,212.5,16,NO
2024,NOV,489.9,21,YES
2024,DEC,414.3,23,YES